O_order;O_code;O_dlots;O_Nlot;O_aval;O_daval;O_year_p;O_countryp_code;O_finstr;R_bids;R_dbids;O_dnegotiated;O_scope;E_Pref;R_pcost;E_indice;O_catpro;E_GDP_1;E_DTF_1;E_distance;viable
119;131769;1;1;50000;1;2015;TK;IPA;1;1;0;0;3333333,33;2989000;0,8967;3;1025,467;72,83;2477;0
121;133560;1;1;40000;1;2015;TK;IPA;1;1;0;0;2666666,67;2749000;1,0309;3;1025,467;72,83;2995;0
125;135520;1;2;750;1;2015;SB;IPA;1;1;0;0;50000;39077;0,7815;3;39,882;72,48;1370;0
126;135612;1;2;2500;1;2017;TK;IPA;1;1;1;0;166666,67;153580;0,9215;3;1122,512;73,26;2975;0
130;135853;1;2;18581;1;2014;LB;ENI;1;1;0;0;1238733,33;1217912;0,9832;3;40,91;71,87;3136;0
131;135853;1;5;3177;1;2014;LB;ENI;1;1;0;0;211800;239923;1,1328;3;40,91;71,87;3136;0
132;135893;1;2;100;1;2016;TK;IPA;1;1;0;0;6666,67;4666;0,6999;1;1087,876;73,26;2516;0
134;135972;1;4;5400;1;2015;TK;IPA;1;1;1;0;360000;405000;1,125;3;1025,467;72,83;2516;0
136;136369;1;3;300;1;2015;TK;IPA;1;1;0;0;20000;14936;0,7468;4;1025,467;72,83;2516;0
147;136838;1;3;300;1;2015;SB;IPA;1;1;0;0;20000;14105;0,7053;3;39,882;72,48;1370;0
148;136937;1;1;750;1;2015;XK;EULEX;1;1;0;1;50000;48370;0,9674;3;6,581;67;1563;0
149;136937;1;2;450;1;2015;XK;EULEX;1;1;0;1;30000;15296;0,5099;3;6,581;67;1563;0
151;137033;1;9;110000;1;2015;TK;IPA;1;1;1;0;7333333,33;4500000;0,6136;3;1025,467;72,83;2516;0
152;137339;1;1;6200;1;2015;MO;ENI;1;1;0;1;413333,33;643500;1,5569;1;108,463;81,99;1895;0
153;137339;1;2;1000;1;2015;MO;ENI;1;1;0;1;66666,67;104400;1,566;3;108,463;81,99;1895;0
